relative_minutes,event_median_speed_ratio,event_p25_speed_ratio,event_p75_speed_ratio,control_median_speed_ratio,control_p25_speed_ratio,control_p75_speed_ratio,matched_event_count
-60,0.8291267672201217,0.5416666666666666,0.9487153597614018,,,,34290
-55,0.8130089590047613,0.5377378494726903,0.9469565217391305,,,,34290
-50,0.796656733097411,0.535617801791554,0.9436149753947654,,,,34290
-45,0.7811474704445951,0.5334858569051582,0.9406756806172636,0.9623059866962306,0.9103705004825643,0.9949558611323317,34290
-40,0.767266509096118,0.5309278350515464,0.9366602687140115,0.9626826722338204,0.9115997111464671,0.9949104234527686,34290
-35,0.7525058786461531,0.529753336075313,0.9317602040816327,0.9626826722338204,0.912630120432397,0.9949324324324325,34290
-30,0.7350989382239381,0.528163737045316,0.9263578230083837,0.9628752461884121,0.9125479695147174,0.99507994831624,34290
-25,0.7216935863542535,0.5296780684104628,0.9198833913669875,0.9626288659793814,0.912215411558669,0.9950083194675542,34290
-20,0.7056672760511883,0.5340538336052202,0.9116928366055392,0.9617117117117117,0.9110808630772333,0.9948892674616694,34290
-15,0.6990476700677468,0.5392479879275653,0.9018264966740577,0.9612794612794613,0.9107142857142857,0.9945945945945946,34290
-10,0.6997970767527342,0.5639097744360902,0.8805293561026601,0.960591133004926,0.908745247148289,0.9945054945054945,34290
-5,0.6795398870165226,0.6300583989161576,0.775135050132871,0.9601415881920791,0.9073375262054508,0.9943609022556391,34290
0,0.5,0.42718446601941745,0.5524061990212071,0.9594594594594595,0.9056962025316456,0.9938937505128951,34290
5,0.4534847898665979,0.3591834952025073,0.5232704402515723,0.959279721710661,0.9049255441008017,0.9942938620315046,34290
10,0.45219694441796165,0.35290644079174655,0.5239005736137667,0.959409594095941,0.9056603773584906,0.9942425593219244,34290
15,0.47046843177189407,0.3583930043718346,0.564401294498382,0.9596153846153846,0.9066088351603709,0.994365788822142,34290
20,0.4816849816849817,0.36363636363636365,0.5902159646042315,0.9602800646104478,0.9063097514340345,0.9946855499143338,34290
25,0.48965517241379314,0.36576576576576575,0.6143786292514088,0.9603320795274253,0.9069807299859699,0.994465730097914,34290
30,0.496551724137931,0.36758412686906544,0.6360850519511981,0.9604591836734695,0.9057029949809566,0.9944341372912802,34290
