feature,importance
sensor_id (one-hot),164.10337228784607
historical_period_congestion_rate_train,1.116753131095175
current_speed_ratio,0.8113297846248679
rolling_speed_ratio_min_15m,0.7101824749069
hour_cos,0.6129239060715141
lag_speed_ratio_30m,0.6033321544339145
rolling_speed_ratio_min_30m,0.5538318039499048
lag_speed_ratio_5m,0.5021036838356611
rolling_speed_ratio_mean_15m,0.4873325235085759
rolling_speed_ratio_mean_60m,0.45781542643788337
trend_speed_mph_per_min_30m,0.411793725229523
day_of_week_cos,0.3057403650437528
rolling_speed_ratio_min_60m,0.28000698687900794
historical_period_median_speed_mph_train,0.27871111922840835
day_of_week,0.2649617377784225
rolling_speed_ratio_mean_30m,0.2560091472346752
speed_change_5m,0.25296668826403695
current_speed_mph,0.20054909596006293
trend_speed_mph_per_min_10m,0.1876818598143717
free_flow_speed_train_mph,0.18741326116069087
lag_speed_ratio_60m,0.1779881121277371
consecutive_decline_steps,0.1267248163654617
rolling_speed_ratio_std_30m,0.115376967929305
rolling_speed_ratio_std_15m,0.11155641422546242
lag_speed_ratio_10m,0.1087512994994503
lag_speed_ratio_15m,0.10812383328780252
trend_speed_mph_per_min_15m,0.09659078665178654
deviation_from_historical_median_mph,0.0711765595822734
is_weekend,0.054447030448920214
hour_sin,0.04532905576549341
hour,0.025597650719921695
rolling_speed_ratio_std_60m,0.011472806524373103
day_of_week_sin,0.0015431006975516314
