feature,importance
sensor_id (one-hot),0.34535760671133175
rolling_speed_ratio_min_15m,0.30588915944099426
current_speed_ratio,0.21962477266788483
rolling_speed_ratio_mean_15m,0.03312954306602478
historical_period_congestion_rate_train,0.02453407645225525
rolling_speed_ratio_min_30m,0.015651671215891838
hour_cos,0.005894608795642853
hour_sin,0.005172701086848974
current_speed_mph,0.004682378843426704
hour,0.0036501751746982336
deviation_from_historical_median_mph,0.00307648116722703
day_of_week_cos,0.0030495701357722282
is_weekend,0.002881512511521578
trend_speed_mph_per_min_30m,0.002427903935313225
day_of_week,0.0022127008996903896
rolling_speed_ratio_min_60m,0.001923798699863255
free_flow_speed_train_mph,0.0016686023445799947
historical_period_median_speed_mph_train,0.0016677742823958397
trend_speed_mph_per_min_15m,0.001553948037326336
day_of_week_sin,0.00154111348092556
rolling_speed_ratio_std_30m,0.0015199824701994658
trend_speed_mph_per_min_10m,0.0014180524740368128
rolling_speed_ratio_mean_60m,0.0013372672256082296
rolling_speed_ratio_mean_30m,0.0012936863349750638
rolling_speed_ratio_std_60m,0.0012847704347223043
lag_speed_ratio_60m,0.001270719338208437
lag_speed_ratio_5m,0.0010836406145244837
speed_change_5m,0.000939949241001159
rolling_speed_ratio_std_15m,0.0009196565370075405
lag_speed_ratio_15m,0.0009073558612726629
lag_speed_ratio_30m,0.0008948935428634286
lag_speed_ratio_10m,0.0008780165226198733
consecutive_decline_steps,0.0006618846673518419
